group	n_subj	prepost	eta_DMN	eta_Vis	eta_LCN	eta_BF	eta_HPF	eta_Th	g	tag
RSC	2	pre	-4.293440444128854	-5.085296640590745	-3.5808806078774587	-3.8062770123384437	-4.0601566470399195	-3.650688599567024	0.5363306828907558	83
RSC	2	post	-3.8270584709790287	-5.0119107694041976	-3.5670689952616788	-3.7039076260157993	-3.704240560531616	-3.6519190632567113	0.4398917409838462	83
RSC	2	pre	-3.951053896728827	-4.829421573755693	-3.587130205971854	-3.7040964681275037	-3.7549513505429637	-3.6483502971882724	0.49366299351867365	84
RSC	2	post	-3.8479176930018832	-4.937071357454572	-3.586574291696354	-3.704187568353147	-3.806175100560091	-3.64942623644459	0.48601142058567126	84
RSC	2	pre	-4.3441091264997205	-4.724510066363276	-3.6650154541949838	-3.7552515827879613	-4.300120086086039	-4.009830187778084	0.4804900002722837	85
RSC	2	post	-3.830242818715621	-5.044679364379571	-3.5628014973231723	-3.7039553048659344	-3.7551138255060934	-3.6487639972141808	0.46799858127321514	85
RSC	2	pre	-3.973442826952253	-4.983765339364811	-3.574510428370262	-3.755183356148856	-3.755044002922214	-3.691361291067941	0.4682153061944611	86
RSC	2	post	-3.8243041719709123	-5.03895598041768	-3.569385119846889	-3.7547476437627054	-3.754729922936887	-3.6466027960485343	0.48443508999688284	86
RSC	2	pre	-3.8643781798226495	-4.937012161527361	-3.611280674837073	-3.704225851564991	-3.9080673042608765	-3.6983500500114594	0.47872965798086053	87
RSC	2	post	-3.8733219127265777	-4.9774826692075145	-3.59469308658522	-3.7041211322862275	-3.856686592102051	-3.6462509486140036	0.43243255785533363	87
RSC	2	pre	-4.568643725648219	-4.827000681234866	-3.576171753357868	-3.703948770250593	-4.2548951324151485	-3.7547532393007863	0.6087953338817674	88
RSC	2	post	-4.22407967703683	-4.877793720790319	-3.6081022632365323	-3.70408457639266	-4.059083831553556	-3.872455674774793	0.4632858755637188	88
RSC	2	pre	-3.8608280979857152	-4.931844721035081	-3.5986502024592184	-3.7040097129588223	-3.856687273297991	-3.638945453020991	0.44067081383296425	89
RSC	2	post	-3.812426683854084	-4.92904349735805	-3.5983330278980485	-3.7039386350281385	-3.8060613554351184	-3.746487705075011	0.4263922535643285	89
RSC	2	pre	-4.592928244143116	-4.928712402071271	-3.5657487888725434	-3.8569867951529364	-4.349233831678118	-3.7548234414081185	0.640219970625274	90
